signal_date,symbol,side,cbt,entry,stoploss,target,status,exit_date,exit_price,max_profit_pct,max_drawdown_pct,days_held,pnl_pct,last_price,last_date
2026-08-14,FWRG,sell,12.72,12.90999984741211,13.85,11.86,Open,,,7.24,3.8,18,,12.075,2026-09-01
2026-08-14,INTC,sell,102.5,104.4800033569336,114.77,87.07,TP Hit,2026-08-24,87.07,18.51,2.29,10,16.66,87.07,2026-08-24
2026-08-14,MU,sell,971.66,979.3200073242188,1056.75,791.99,Open,,,9.36,5.8,18,,933.44,2026-09-01
2026-08-14,PFGC,buy,107.25,104.46,99.91,110.23,SL Hit,2026-08-31,99.91,2.96,5.72,17,-4.36,99.91,2026-08-31
2026-08-18,DY,sell,414.7,424.75,454.33,389.22,TP Hit,2026-08-21,389.22,8.68,0.25,3,8.36,389.22,2026-08-21
2026-08-18,FOX,sell,61.23,61.720001220703125,64.68,50.15,Open,,,4.75,1.96,14,,59.03,2026-09-01
2026-08-19,NFG,sell,83.58,83.83000183105469,86.12,77.36,Open,,,2.54,1.38,13,,83.83,2026-09-01
2026-08-19,UFPI,buy,90.42,88.65,83.57,91.9,SL Hit,2026-09-01,83.57,2.67,7.57,13,-5.73,83.57,2026-09-01
2026-08-20,DHI,sell,147.33,148.50999450683594,159.22,143.69,TP Hit,2026-09-01,143.69,5.01,2.04,12,3.25,143.69,2026-09-01
2026-08-20,ENTG,buy,144.63,144.11,131.56,160.92,SL Hit,2026-09-01,131.56,2.09,12.07,12,-8.71,131.56,2026-09-01
2026-08-20,ONTO,buy,298.84,296.0,267.21,332.35,SL Hit,2026-08-31,267.21,3.59,10.32,11,-9.73,267.21,2026-08-31
2026-08-20,SAIA,buy,359.63,354.58,337.64,380.84,SL Hit,2026-09-01,337.64,4.19,6.65,12,-4.78,337.64,2026-09-01
2026-08-21,HAL,sell,35.34,35.81999969482422,37.05,33.22,TP Hit,2026-08-26,33.22,7.79,0.47,5,7.26,33.22,2026-08-26
2026-08-21,KTOS,buy,57.17,56.62,51.68,61.52,SL Hit,2026-08-31,51.68,3.5,10.67,10,-8.72,51.68,2026-08-31
2026-08-21,LNG,sell,277.51,279.9599914550781,289.07,255.5,SL Hit,2026-08-31,289.07,2.13,4.75,10,-3.25,289.07,2026-08-31
2026-08-21,RCL,buy,292.0,290.31,274.67,318.41,SL Hit,2026-08-31,274.67,2.95,7.87,10,-5.39,274.67,2026-08-31
2026-08-24,MOS,sell,24.0,24.6200008392334,26.23,21.48,Open,,,5.28,2.38,8,,24.78,2026-09-01
2026-08-24,MTRN,buy,229.84,229.73,209.35,280.86,Open,,,7.93,1.68,8,,234.19,2026-09-01
2026-08-24,PLNT,sell,53.86,54.15999984741211,57.27,49.72,Open,,,7.88,2.23,8,,50.47,2026-09-01
2026-08-24,TER,buy,364.9,360.12,320.35,426.95,Open,,,5.17,8.89,8,,335.46,2026-09-01
2026-08-24,TSLA,sell,348.95,361.4100036621094,380.44,322.19,Open,,,5.22,2.08,8,,356.09,2026-09-01
2026-08-25,AZTA,buy,33.21,33.06,30.19,36.6,Open,,,2.66,7.53,7,,31.57,2026-09-01
2026-08-26,CRWD,buy,189.18,182.75,171.81,204.41,TP Hit,2026-08-27,204.41,25.35,0.83,1,11.85,204.41,2026-08-27
2026-08-26,NTLA,sell,13.19,13.380000114440918,14.49,11.49,Open,,,7.77,0.9,6,,12.685,2026-09-01
2026-08-26,SNOW,buy,315.37,309.44,294.17,331.98,TP Hit,2026-08-27,331.98,7.78,0.7,1,7.28,331.98,2026-08-27
2026-08-27,BE,sell,217.83,227.10000610351562,248.98,202.06,TP Hit,2026-09-01,202.06,13.03,0.39,5,11.03,202.06,2026-09-01
2026-08-27,XPRO,buy,18.07,17.44,16.38,18.6,TP Hit,2026-08-31,18.6,7.97,1.09,4,6.65,18.6,2026-08-31
2026-08-31,HQY,buy,96.54,95.55,85.06,102.8,Open,,,3.24,2.61,1,,97.0,2026-09-01
2026-08-31,LEGN,buy,20.78,19.8,18.56,22.2,Open,,,8.81,0.47,1,,21.13,2026-09-01
2026-09-01,CYTK,buy,71.4,70.14,66.43,76.5,Open,,,3.28,0.41,0,,71.4,2026-09-01
2026-09-01,VCEL,buy,40.5,39.87,37.76,45.19,Open,,,3.93,0.54,0,,40.5,2026-09-01
